"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"COD_SENADOR";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"NOME_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"2137697";"Nota Fiscal Eletrônica";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"09.798.307/0001-54";"SERVICAR S/A";"2420";"2019-12-07";"Aquisição de combustível para veículos utilizados na atividade parlamentar.";"2102,89"
"2136729";"Nota Fiscal Eletrônica";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"33.469.172/0022-92";"Serviço Nacional de Aprendizagem Com. Senac";"25963";"2019-12-02";"Despesa com refeição e bebidas não alcoólicas para o parlamentar";"49,87"
"2136728";"Nota Fiscal Eletrônica";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"33.469.172/0022-92";"Serviço Nacional de Aprendizagem Com. Senac";"25962";"2019-12-02";"Despesa com refeição e bebidas não alcoólicas para o parlamentar";"99,74"
"2137369";"Nota Fiscal Eletrônica";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"33.469.172/0022-92";"Serviço Nacional de Aprendizagem Com. Senac";"22635";"2019-12-10";"Despesa com refeição e bebidas não alcoólicas para o parlamentar.";"93,20"
"2137370";"Nota Fiscal Eletrônica";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"33.469.172/0022-92";"Serviço Nacional de Aprendizagem Com. Senac";"22693";"2019-12-11";"Despesa com refeição e bebidas não alcoólicas para o parlamentar";"49,87"
"2137748";"Nota Fiscal Eletrônica";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"33.469.172/0022-92";"Serviço Nacional de Aprendizagem Com. Senac";"26440";"2019-12-17";"Despesa com refeição e bebidas não alcoólicas para o parlamentar.";"49,87"
"2137368";"Recibo";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"08.236.444/0001-32";"Teletaxi";"08321";"2019-12-07";"Despesa com serviço de táxi para o parlamentar na cidade de Petrolina/PE.";"50,00"
"2136718";"Recibo";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"Uber do Brasil Tecnologia";;"2019-12-01";"Despesa relativa ao uso de transporte por aplicativo, uber, para o parlamentar.";"5,02"
"2136720";"Recibo";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"Uber do Brasil Tecnologia";;"2019-12-01";"Despesa relativa ao uso de transporte por aplicativo, uber, para o parlamentar.";"10,95"
"2137365";"Recibo";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"Uber do Brasil Tecnologia";;"2019-12-04";"Despesa com transporte por aplicativo, uber, para o parlamentar.";"5,02"
"2137366";"Recibo";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"Uber do Brasil Tecnologia";;"2019-12-04";"Despesa com transporte por aplicativo, uber, para o parlamentar.";"5,02"
"2137684";"Recibo";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"Uber do Brasil Tecnologia";;"2019-12-12";"Despesa relativa ao serviço de transporte por aplicativo, uber, para o parlamentar.";"5,56"
"2137685";"Recibo";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"Uber do Brasil Tecnologia";;"2019-12-14";"Despesa relativa ao serviço de transporte por aplicativo, uber, para o parlamentar.";"5,85"
"2137686";"Recibo";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"Uber do Brasil Tecnologia";;"2019-12-15";"Despesa relativa ao serviço de transporte por aplicativo, uber, para o parlamentar.";"5,81"
"2137688";"Recibo";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"Uber do Brasil Tecnologia";;"2019-12-15";"Despesa relativa ao serviço de transporte por aplicativo, uber, para o parlamentar.";"10,74"
"2137690";"Recibo";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"Uber do Brasil Tecnologia";;"2019-12-16";"Despesa relativa ao serviço de transporte por aplicativo, uber, para o parlamentar.";"37,49"
"2139339";"Recibo";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"Uber do Brasil Tecnologia";;"2019-12-20";"Despesa relativa ao uso de transporte por aplicativo, uber, para o parlamentar.";"14,91"
"2139340";"Recibo";"2019";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"Uber do Brasil Tecnologia";;"2019-12-21";"Despesa relativa ao serviço de transporte por aplicativo, uber, para o parlamentar.";"16,63"
"2136721";"Passagem / Bilhete / Código Localizador";"2019";"12";"5008";"HUMBERTO COSTA";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"Ádria Viagens e Turismo Ltda Me";"LYTG4V";"2019-12-02";"Companhia Aérea: AZUL, Localizador: LYTG4V. Passageiros: HUMBERTO SÉRGIO COSTA LIMA (Matrícula 233988, PARLAMENTAR), Voo: 6986 - BRASÍLIA - RECIFE - 05/12/19; ";"986,46"
"2136727";"Passagem / Bilhete / Código Localizador";"2019";"12";"5008";"HUMBERTO COSTA";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"Ádria Viagens e Turismo Ltda Me";"XUFDXA";"2019-12-04";"Companhia Aérea: LATAM, Localizador: XUFDXA. Passageiros: HUMBERTO SÉRGIO COSTA LIMA (Matrícula 233988, PARLAMENTAR), Voo: 3416 - BRASÍLIA - RECIFE - 12/12/19; ";"407,30"
"2137358";"Passagem / Bilhete / Código Localizador";"2019";"12";"5008";"HUMBERTO COSTA";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"Ádria Viagens e Turismo Ltda Me";"BIE17P";"2019-12-05";"Companhia Aérea: GOL, Localizador: BIE17P. Passageiros: HUMBERTO SÉRGIO COSTA LIMA (Matrícula 233988, PARLAMENTAR), Voo: 1759 - RECIFE - BRASÍLIA - 14/12/19; ";"415,18"
"2137360";"Passagem / Bilhete / Código Localizador";"2019";"12";"5008";"HUMBERTO COSTA";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"Ádria Viagens e Turismo Ltda Me";"JXSMVC";"2019-12-07";"Companhia Aérea: LATAM, Localizador: JXSMVC. Passageiros: HUMBERTO SÉRGIO COSTA LIMA (Matrícula 233988, PARLAMENTAR), Voo: 3701 - BRASÍLIA - SÃO PAULO - 16/12/19; ";"1231,26"
"2137361";"Passagem / Bilhete / Código Localizador";"2019";"12";"5008";"HUMBERTO COSTA";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"Ádria Viagens e Turismo Ltda Me";"JR7JMH";"2019-12-10";"Companhia Aérea: GOL, Localizador: JR7JMH. Passageiros: HUMBERTO SÉRGIO COSTA LIMA (Matrícula 233988, PARLAMENTAR), Voo: 1446 - SÃO PAULO - BRASÍLIA - 17/12/19; ";"1586,73"
"2137362";"Passagem / Bilhete / Código Localizador";"2019";"12";"5008";"HUMBERTO COSTA";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"Ádria Viagens e Turismo Ltda Me";"BH1D9F";"2019-12-11";"Companhia Aérea: GOL, Localizador: BH1D9F. Passageiros: HUMBERTO SÉRGIO COSTA LIMA (Matrícula 233988, PARLAMENTAR), Voo: 1744 - BRASÍLIA - RECIFE - 18/12/19; ";"2300,67"
"2117358";"Nota Fiscal Eletrônica";"2019";"2";"5385";"IRAJÁ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02.851.222/0001-43";"ORG SEGURANÇA ELETRÔNICA LTDA - ME";"201900000000519";"2019-02-01";;"400,00"
"2116982";"Recibo";"2019";"2";"5385";"IRAJÁ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13.851.500/0001-89";"VÂNIA IMÓVEIS LTDA - ME";;"2019-02-18";;"1750,00"
"2127550";"Recibo";"2019";"7";"581";"JAQUES WAGNER";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"07.615.987/0001-06";"JEQUITIBÁ INCORPORAÇÕES E CONSTRUÇÕES IMOBILIÁRIAS LTDA.";;"2019-07-29";"DESPESA COM ALUGUEL DO ESCRITÓRIO POLÍTICO NO ESTADO.";"8000,00"
